sidoname,cityname,pm25value,pm10value,datetime,day,week
제주,제주,28.0,67.0,2022-03-04T19:00:00.000Z,2022-03-04T00:00:00.000Z,2022-02-28T00:00:00.000Z
제주,제주,26.0,59.0,2022-03-10T17:00:00.000Z,2022-03-10T00:00:00.000Z,2022-03-07T00:00:00.000Z
제주,제주,15.0,25.0,2022-03-14T15:00:00.000Z,2022-03-14T00:00:00.000Z,2022-03-14T00:00:00.000Z
제주,제주,12.0,32.0,2022-03-08T05:00:00.000Z,2022-03-08T00:00:00.000Z,2022-03-07T00:00:00.000Z
제주,제주,11.0,20.0,2022-03-21T12:00:00.000Z,2022-03-21T00:00:00.000Z,2022-03-21T00:00:00.000Z
제주,제주,10.0,17.0,2022-03-19T01:00:00.000Z,2022-03-19T00:00:00.000Z,2022-03-14T00:00:00.000Z
제주,제주,27.0,46.0,2022-03-01T17:00:00.000Z,2022-03-01T00:00:00.000Z,2022-02-28T00:00:00.000Z
제주,제주,10.0,19.0,2022-03-26T07:00:00.000Z,2022-03-26T00:00:00.000Z,2022-03-21T00:00:00.000Z
제주,제주,9.0,23.0,2022-03-08T03:00:00.000Z,2022-03-08T00:00:00.000Z,2022-03-07T00:00:00.000Z
제주,제주,27.0,70.0,2022-03-08T17:00:00.000Z,2022-03-08T00:00:00.000Z,2022-03-07T00:00:00.000Z
제주,제주,15.0,28.0,2022-03-17T19:00:00.000Z,2022-03-17T00:00:00.000Z,2022-03-14T00:00:00.000Z
제주,제주,10.0,27.0,2022-03-07T12:00:00.000Z,2022-03-07T00:00:00.000Z,2022-03-07T00:00:00.000Z
제주,제주,15.0,36.0,2022-03-12T19:00:00.000Z,2022-03-12T00:00:00.000Z,2022-03-07T00:00:00.000Z
제주,제주,18.0,28.0,2022-03-22T07:00:00.000Z,2022-03-22T00:00:00.000Z,2022-03-21T00:00:00.000Z
제주,제주,11.0,40.0,2022-03-27T10:00:00.000Z,2022-03-27T00:00:00.000Z,2022-03-21T00:00:00.000Z
제주,제주,28.0,61.0,2022-03-08T19:00:00.000Z,2022-03-08T00:00:00.000Z,2022-03-07T00:00:00.000Z
제주,제주,12.0,16.0,2022-03-14T02:00:00.000Z,2022-03-14T00:00:00.000Z,2022-03-14T00:00:00.000Z
제주,제주,27.0,39.0,2022-03-23T19:00:00.000Z,2022-03-23T00:00:00.000Z,2022-03-21T00:00:00.000Z
제주,제주,49.0,86.0,2022-03-03T23:00:00.000Z,2022-03-03T00:00:00.000Z,2022-02-28T00:00:00.000Z
제주,제주,7.0,23.0,2022-03-07T01:00:00.000Z,2022-03-07T00:00:00.000Z,2022-03-07T00:00:00.000Z
제주,제주,6.0,12.0,2022-03-18T06:00:00.000Z,2022-03-18T00:00:00.000Z,2022-03-14T00:00:00.000Z
제주,제주,10.0,28.0,2022-03-28T12:00:00.000Z,2022-03-28T00:00:00.000Z,2022-03-28T00:00:00.000Z
